text,author,reply,retweet,like,date,cleaned_text
dpr jdul bang...kami faham...yg hsil pemilu 2024 blom di lantik..pantes aje banyak...lgian banyak yg g kepilih lg mereka ..Kecoa tu,Vivo 1819,0,0,0,2024-03-06T01:13:57.000Z,dpr jdul bang...kami faham...yg hsil pemilu 2024 blom di lantik..pantes aje banyak...lgian banyak yg g kepilih lg mereka ..Kecoa tu
Waspada hoax pasca pemilu 2024.,Claudia,0,0,1,2024-03-06T01:17:29.000Z,Waspada hoax pasca pemilu 2024.
"Melaksanakan Himbauan Kepada pelajar SMA   agar menghidari kenakalan remaja.
#PolresPPU #PoldaKaltim #Polripresisi #Pemilu2024 #PemiluDamai #Damaiindonesia #iknNusa",Sat Binmas Polres Penajam Paser Utara,0,0,0,2024-03-06T02:38:12.000Z,Melaksanakan Himbauan Kepada pelajar SMA   agar menghidari kenakalan remaja.              
"Potret personel Polres bersama anggota Tni dari Koramil 1507-02/Saumlaki laksanakan pengamanan guna antisipasi konsentrasi massa khusus nya dimasa pentahapan Pemilu 2024.

@DivHumas_Polri
 
@Spripim_Polri
 
#divisihumaspolri #spripimpolri #operasimantapbratasalawaku20232024",HUMAS POLRES KEP. TANIMBAR,0,0,1,2024-03-06T02:11:46.000Z,Potret personel Polres bersama anggota Tni dari Koramil 1507-02/Saumlaki laksanakan pengamanan guna antisipasi konsentrasi massa khusus nya dimasa pentahapan Pemilu 2024.               
"PLENO TINGKAT KABUPATEN MAPPI DISTRIK OBAA BERLANGSUNG RICUH , SEJUMLAH FASILITAS DI RUSAKI SEHINGGA PERSONEL KEPOLISIAN BERSAMA TNI DAN BRIMOB LEPASKKAN TEMBAKAN GAS AIR MATA UNTUK MEREHDAHKAN MASSA,

#infokejadianmerauke #infopapua #papuaviral #pemilu2024 #pojokindo",POJOK INDONEWS,0,0,0,2024-03-06T01:00:13.000Z,"PLENO TINGKAT KABUPATEN MAPPI DISTRIK OBAA BERLANGSUNG RICUH , SEJUMLAH FASILITAS DI RUSAKI SEHINGGA PERSONEL KEPOLISIAN BERSAMA TNI DAN BRIMOB LEPASKKAN TEMBAKAN GAS AIR MATA UNTUK MEREHDAHKAN MASSA,           "
"Mari senantiasa menjaga persatuan untuk kesuksesan Pemilu 2024.

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",Titah Pandita,0,0,0,2024-03-06T02:29:08.000Z,Mari senantiasa menjaga persatuan untuk kesuksesan Pemilu 2024.           
"yg MASIH PADA BUTA.. mau bergelar profesor, akademisi, politisi, buzzerRp sampe buzzer kere!

Silahkan bilang bahwa tidak ada KECURANGAN TSM di pemilu 2024 ini..!

Mudah2an Allah benar2 MEMBUTAKAN MATA HATI kalian semua..!",boetix,0,0,0,2024-03-06T02:31:29.000Z,"yg MASIH PADA BUTA.. mau bergelar profesor, akademisi, politisi, buzzerRp sampe buzzer kere!  Silahkan bilang bahwa tidak ada KECURANGAN TSM di pemilu 2024 ini..!  Mudah2an Allah benar2 MEMBUTAKAN MATA HATI kalian semua..!"
Daftar : https://s.id/freelancejobs.. #Pemilu2024 #HappyValentine #27thValentineWithJaehyun #PDIP #hebatbet #cs1hebatbet #SMTOWN2024 #Tobeli #___,CS1Hebatbet,0,0,0,2024-03-06T00:58:52.000Z,Daftar :                   
Jangan biarkan penundaan pemilu 2024 mengganggu proses demokrasi dan stabilitas negara. #PemiluJujur,Titin,0,0,0,2024-03-06T03:23:58.000Z,Jangan biarkan penundaan pemilu 2024 mengganggu proses demokrasi dan stabilitas negara.  
MasyaAllah ... Kejahatan Pemilu 2024 hrs di bongkar nih.,Mohammad Khafid Khafid,0,3,3,2024-03-06T03:09:20.000Z,MasyaAllah ... Kejahatan Pemilu 2024 hrs di bongkar nih.
"Walau ngga bisa dipercaya, tetapi informasi suara hasil pemilu 2024 zong di web KPU http://pemilu2024.kpu.go.id ...",Pray4Gaza&FightZio,0,0,0,2024-03-06T01:03:06.000Z,"Walau ngga bisa dipercaya, tetapi informasi suara hasil pemilu 2024 zong di web KPU  ..."
FKUB Yapen Ajak Masyarakat Tetap Jaga Kebersamaan usai Pemilu 2024,inbrek.com,0,0,0,2024-03-06T03:17:06.000Z,FKUB Yapen Ajak Masyarakat Tetap Jaga Kebersamaan usai Pemilu 2024
"Selama masih mengulur2 waktu buat cabut dari kabinetnya Jokowi, ini jelas cuma gertakan dan lucu2an.
Hak angket ga bisa buat gugat pelaksanaan pemilu 2024 dan hasilnya, tp bisa buat melengserkan presiden. Jd sebaiknya keluar dulu dari kabinet. Baru ajukan hak angket, lbh fair.",Pajak Karbon 2025,0,0,0,2024-03-06T03:24:10.000Z,"Selama masih mengulur2 waktu buat cabut dari kabinetnya Jokowi, ini jelas cuma gertakan dan lucu2an. Hak angket ga bisa buat gugat pelaksanaan pemilu 2024 dan hasilnya, tp bisa buat melengserkan presiden. Jd sebaiknya keluar dulu dari kabinet. Baru ajukan hak angket, lbh fair."
"Pasca Pemilu 2024, suara kritis terhadap penyelenggara pemilu, proses yang diduga penuh dengan kecurangan dan 'cawe-cawe' presiden, serta rekapitulasi suara yang mencurigakan, masih marak mengisi ruang publik dan pemberitaan di Indonesia.",Suara Kebebasan,1,1,1,2024-03-06T02:48:37.000Z,"Pasca Pemilu 2024, suara kritis terhadap penyelenggara pemilu, proses yang diduga penuh dengan kecurangan dan 'cawe-cawe' presiden, serta rekapitulasi suara yang mencurigakan, masih marak mengisi ruang publik dan pemberitaan di Indonesia."
PKS Sebut Pilkada akan Lebih Kacau jika Dugaan Kecurangan Pemilu 2024 Dibiarkan http://dlvr.it/T3gQKy #News,LIPUTAN6,1,2,9,2024-03-06T02:47:06.000Z,PKS Sebut Pilkada akan Lebih Kacau jika Dugaan Kecurangan Pemilu 2024 Dibiarkan   
"'Kalian akan Rakus terhadap Jabatan, padahal jabatan itu akan menjadi Penyesalan di hari Kiamat, ia adalah seenak-enak penyusuan dan segetir-getir penyapihan' (Bukhori 6615)

Lbh menyesal lg bila jabatan didapatkan dgn cara yg tdk benar dan baik, berat Hisabnya.
Pemilu 2024 MKMK",RakyatKeciL,0,0,0,2024-03-06T02:47:44.000Z,"'Kalian akan Rakus terhadap Jabatan, padahal jabatan itu akan menjadi Penyesalan di hari Kiamat, ia adalah seenak-enak penyusuan dan segetir-getir penyapihan' (Bukhori 6615)  Lbh menyesal lg bila jabatan didapatkan dgn cara yg tdk benar dan baik, berat Hisabnya. Pemilu 2024 MKMK"
KPU dan Bawaslu membutuhkan dukungan kita untuk menjamin Pemilu 2024 berjalan dengan baik dan lancar. #PemiluJujur,ikarubiasy,0,0,0,2024-03-06T03:01:07.000Z,KPU dan Bawaslu membutuhkan dukungan kita untuk menjamin Pemilu 2024 berjalan dengan baik dan lancar.  
