text,author,reply,retweet,like,date
"Kita dukung Ganjar-Mahfud krna mrka memiliki visi jelas buat mencipgakan pemerintahan yg bersih dan akuntabel 
@KanacVakka40087
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:49:53.000Z
"Harapan saya,semoga Pemilu 2024 ini INDONESIA akam dipimpin oleh Presiden yg Amanah Jujur dan yg bertaqwa pada ALLAAHH.SWT. kaya pak anies.",0,0,0,0,2024-02-15T14:57:40.000Z
"PETUGAS KPPS MENINGGAL MENDADAK DIDUGA KELELAHAN 

#Pemilu2024",0,0,0,0,2024-02-15T14:54:22.000Z
Ayo kita kawal proses pemilu sampa selesai #Pemilu2024,0,0,0,0,2024-02-15T15:31:34.000Z
"Dengan biaya dan tenaga yang lebih rendah, tentu saja pelayanan ke masyarakat bisa lebih meningkat. Masyarakat juga akan lebih mengerti siapa saja yg harus dipilih.

Saya rasa kalian juga merasakan demikian rupa, yuk coba share ceritamu

#KPU #bawaslu #Pemilu2024 #realcount",1,1,0,1,2024-02-15T15:19:46.000Z
"Mengapa harus pilih Ganjar-Mahfud? krna mrka punya kompetensi dan dedikasi yg luar biasa 
@kesowoaji
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,1,1,2024-02-15T15:02:28.000Z
"Dukungan kami buat pak ganjar-mahfud gak prnh surut, krna kami percaya pada visi mrka dlm membangun masa dpn yg lebih baik 
@kemantuy
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T14:57:41.000Z
"dngn kepemimpinan ganasnya, kita yakin masa dpn Indonesia akan makin cerah di bawah pimpinan Ganjar-Mahfud 
@kangvalas
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:44:25.000Z
MVP pemilu 2024. Jadi ini mah ,0,0,0,0,2024-02-15T14:55:46.000Z
Warga Jaga Suara Terima 90 Laporan Kecurangan Pemilu 2024,0,0,0,0,2024-02-15T14:43:06.000Z
"Hasil Rekapitulasi Pemilu (REAL COUNT)

15 Feb 2024 22:30:24
- Anies-Muhaimin: 11.357.601 (25.13%  00.31%) 
- Prabowo-Gibran: 25.711.378 (56.90%  00.26%) 
- Ganjar-Mahfud: 8.118.539 (17.97%  00.04%)

#Pemilu2024 #AMIN #PrabowoGibran #GanjarMahfud",0,0,0,1,2024-02-15T15:41:14.000Z
"Dukungan kita buat Ganjar-Mahfud gakkan prnh surut mrka adlh pemimpin yg penuh dedikasi dan keberanian 
@kingcreole9
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:19:36.000Z
pemilu 2024 curang lebih sadis dari pemilu jakarta 2017,0,0,0,0,2024-02-15T14:39:30.000Z
"Usai memberikan hak pilihnya, Imam Bukhori meninjau ke sejumlah Tempat Pemungutan Suara (TPS) secara acak dalam penyelenggaraan Pemilu 2024 di Kabupaten Pringsewu di TPS 05 Pekon Podomoro Kecamatan Pringsewu dan Tanggamus TPS 03 Pekon Purwodadi Kecamatan Gisting.",1,1,0,0,2024-02-15T14:37:41.000Z
"Paket calon presiden-wakil presiden terbaik adlh Ganjar-Mahfud Ayo dukung mrka dngn sepenuh hati 
@kenyoayu
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:05:05.000Z
"Terimakasih orang hebat
@/Megawati 
@jokowi
 
@ganjarpranowo
 

@PDI_Perjuangan
 
Dari kalian saya banyak belajar tentang
-Proses
-Perjuangan
-Demokrasi
-Konstitusi
-Kemenangan
-Kekalahan

#Pemilu2014 
#Pemilu2019 
#Pemilu2024",1,1,0,0,2024-02-15T14:44:04.000Z
"Ganjar-Mahfud adlh tim yg penuh semangat dan energi positif Bersama mrka, kita bisa mengubah Indonesia menjd negara yg lebih baik 
@kandrianie
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:40:04.000Z
"Simak informasi mengenai sentimen positif pasar keuangan paska pemilu 2024 dari Chief Economist Mandiri Sekuritas, Rangga Cipta 

Coba tulis pendapat Sobat MOST tentang perkembangan pasar paska pemilu 2024 di kolom komentar, ya 

#TenangAdaMOST #MandiriSekuritas",0,0,0,0,2024-02-15T14:39:54.000Z
"Keberhasilan masa dpn ada di tangan pemimpin seperti Ganjar-Mahfud, mari kita dukung dia dngn sepenuh hati 
@kangeminxs
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:42:55.000Z
