text,author,reply,retweet,like,date
"Jadi jangan sia siakan suara kita.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:12:47.000Z
"Ayo jadikan tanggal 14 Februari 2024 sebagai momen bersejarah dimana kita sebagai bangsa berdaulat memilih pemimpin dan wakil-wakil rakyat kita.
Sukseskan          #AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T12:18:49.000Z
"tanggal 14 Februari 2024 datang ke TPS untuk memilih sesuai hati nurani kita, jangan mau di intimidasi oleh siapapun. 
#AyoSiapSiapNyoblos `",0,0,0,0,2024-02-12T13:11:27.000Z
"Satu suara sangat berharga sekali!!!
Ingat Hari Rabu, 24 Februari 2024 Hari Kasih Suara untuk Indonesia 

#AyoSiapSiapNyoblos",2,2,7,7,2024-02-12T12:30:27.000Z
"Oh apa saja yang di bawa...?

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:20:23.000Z
"Suara kita sangat berharga. 
#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T12:49:40.000Z
"Kenali warna kertas suara agar tidak keliru. 
#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T12:12:43.000Z
"Ayo nyoblos ke TPS tanggal 14 Februari 2024

#AyoSiapSiapNyoblos",0,0,1,1,2024-02-12T13:13:16.000Z
"Ayoook memilih pergi ke TPS.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:00:48.000Z
"Dukung pemilu damai dan aman untuk Indonesia.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T15:09:18.000Z
"Kenali surat suara pemilu 2024.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:26:27.000Z
"Ayoo ke TPS jangan golput.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:22:22.000Z
Mari kita ciptakan kondusifitas   pemilu          #AyoSiapSiapNyoblos,0,0,0,0,2024-02-12T12:20:33.000Z
"Ayo ke TPS untuk memberikan suara kita. 
#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T12:37:16.000Z
"Gunakan hak suara kalian.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:53:50.000Z
"Ingat datang ke TPS tanggal 14 februari nanti.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:09:12.000Z
"Sangat memudahkan saat di TPS nanti.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:54:30.000Z
"Harus kita tolak Politik kotor
#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:35:07.000Z
"Ohh ini yaa, apa saja yang harus di bawa saat ke TPS.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T12:54:18.000Z
"Ayooo nyoblos jangan lupa tanggal 14 februari.

#AyoSiapSiapNyoblos",0,0,0,0,2024-02-12T13:41:03.000Z
"Berikut ini panduan cara nyoblos di TPS 

#AyoSiapSiapNyoblos",5,5,6,5,2024-02-12T12:55:05.000Z
"KPU mendorong setiap pemilih untuk memahami makna dari setiap warna surat suara dan memilih dengan bijak sesuai dengan keyakinan dan kepercayaan masing-masing.

#AyoSiapSiapNyoblos",0,0,3,3,2024-02-12T12:33:35.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",0,0,0,0,2024-02-13T05:25:03.000Z
