text,author,reply,retweet,like,date
"Ribuan massa dari berbagai lapisan masyarakat menggelar aksi unjuk rasa di depan gedung DPR RI. Mereka mendukung DPR menggulirkan Hak Angket untuk mengusut dugaan kecurangan Pemilu 2024 hingga meminta pemakzulan Presiden Joko Widodo.

Download #MetroTVXtend sekarang di Play Store",METRO TV,9,220,524,2024-03-05T08:43:28.000Z
135 Personel Polres Lampung Timur Amankan Rapat Pleno Hasil Pemilu 2024 Tingkat KPU Kabupaten,Humas Polda Lampung,0,0,285,2024-02-29T03:56:38.000Z
"Kegiatan Patroli Dialogis Polsek Sungai Kakap, Memberikan Himbauan Kambtibmas dan Mengajak Masyarakat bersama Sama menjaga situasi Kamtibmas yang Kondusif Pasca Pemilu 2024 (06/03).",Polsek Sungai Kakap,0,0,0,2024-03-06T03:10:05.000Z
Pakar HTN Feri Amsari Dorong 'Pengadilan Rakyat' Bongkar Kecurangan Pemilu 2024,Democrazy News,0,32,56,2024-03-06T00:30:00.000Z
"Mimbar Demokrasi Wanita : 

Ketika perempuan sudah berbicara dan prihatin dg bangsanya

Mendesak Presiden Menghentikan Penyalahgunaan Kekuasaan Dalam Pemilu 2024 

___
Partai Salah Input Exhuma Banned Manchester United Zara Dara I Love You #DukungHakAngketDPR",H Rohta,0,9,19,2024-03-04T16:20:46.000Z
"Ngeri, Ada Operasi Pemilih Hantu Untungkan PSI Dan Gembosi PPP 

https://kompasiana.com/paltiwest/65e3fcf3de948f0b945d5078/ngeri-ada-operasi-pemilih-hantu-untungkan-psi-dan-gembosi-ppp?utm_source=Twitter&utm_medium=Refferal&utm_campaign=Sharing_Mobile

Ketidaknormalan Pemilu 2024 belum juga berhenti. Setelah mengalami ketidaknormalan dalam putusan MK, pendaftaran paslon, ketidaknetralan aparat dan presiden, serangan bansos dan BLT, kini",Pengamat Logika,4,19,42,2024-03-03T04:34:01.000Z
"#papuaamankondusif
#jagastabilitaskeamanan
#papuankri
#pemilu2024",Toejuhdimensi,0,0,1,2024-03-06T02:21:29.000Z
"Siapa disini yang mau jadi Investor crypto dengan modal kecil?
 
Bisa banget di TRIV kalian bisa investasi crypto mulai dari 50rb!",Triv Exchange,0,8,73,
"Unit Samapta Polsek Rancaekek Polresta Bandung laksanakan patroli dialogis perintis presisi guna mencegah dan menangkal segala bentuk gangguan kamtibmas di wilayah hukum Polsek Rancaekek pasca dilaksanakannya Pemilu 2024.


@spripim
.polri
@divisihumaspolri",POLSEK RANCAEKEK POLRESTA BANDUNG,0,0,0,2024-03-06T03:16:56.000Z
"Cak Imin Sebut Pemilu 2024 Terberat Sepanjang Era Reformasi karena ""Beruang"" https://nasional.tempo.co/read/1838613/cak-imin-sebut-pemilu-2024-terberat-sepanjang-era-reformasi-karena-beruang?utm_source=Twitter&utm_medium=dlvr.it #TempoNasional",tempo.co,1,51,212,2024-02-27T14:26:08.000Z
Jayapura  Saat ini di salah satu hotel di Kota Jayapura sedang diadakan Pleno Rekapitusi Suara Pemilu 2024 tingkat Provinsi.,Hmspoldapapua,0,0,0,2024-03-06T02:46:13.000Z
Kegiatan Pengamanan Penyampaian Rekapitulasi Hasil Penghitungan Suara Pemilu 2024 Oleh Personel Polres Tanggamus Jaga Situasi Kamtibmas Agar Tetap Kondusif,Humas Polres Tanggamus,0,0,0,2024-03-06T02:51:52.000Z
"Kantor KPUD Depok didemo massa yg tidak puas dg hasil penghitungan suara pada Pemilu 2024.

#DukungHakAngketDPR
#PemiluUlangTanpa02",¥@N'$,26,820,1.7K,2024-02-27T11:44:23.000Z
"Partisipasi Pemilih Pemilu 2024 di Kabupaten Serang Meningkat Jadi 85,3 Persen Aman dan Damai",PEMILU DAMAI KITA,0,0,0,2024-03-06T02:01:29.000Z
